,Dim1,Dim2,tokens,article,competitor
7405,-15.2960186,-29.21903801,abandoning,15,0
2306,-23.23233223,-39.69927979,abbott,4,0
3965,9.462963104,14.89870739,abdomen,8,0
11477,-50.06832504,15.91954231,abdomen,28,1
12046,8.239726067,15.12471485,abdomen,30,1
12602,8.404276848,14.85202312,abdomen,32,1
14806,9.892995834,15.0340147,abdomen,39,1
20207,10.00309277,15.0387001,abdomen,55,2
23257,15.03889847,14.13965321,abdomen,62,3
31801,9.917916298,14.86997509,abdomen,82,3
10346,-4.277588844,34.41775131,abdominal,25,1
20070,12.57019997,22.6271534,abdominal,55,2
27599,-36.71843719,-4.179167271,abilities,72,3
30100,24.03492546,-2.935841322,abnormal,78,3
32624,23.00311852,-1.795342207,abnormal,85,4
270,0.005850084,-31.42269897,absorbed,0,0
1737,-7.673904896,-19.45647049,absorbed,3,0
4442,-1.028484225,-30.70697212,absorbed,9,0
6637,-2.518933535,-27.31814003,absorbed,13,0
11031,8.26576519,-33.9467926,absorbed,27,1
17805,-10.3329258,-17.94604301,absorbed,48,1
21992,-0.279110342,-30.89269257,absorbed,59,3
22850,-1.100346804,-30.74106216,absorbed,61,3
23660,-1.100536704,-30.7408638,absorbed,63,3
24502,-0.015369735,-31.39427376,absorbed,65,3
25044,0.218445897,-31.13969231,absorbed,66,3
25624,-0.285545409,-30.84028244,absorbed,67,3
27103,30.2390995,8.726037979,absorbed,71,3
37014,-0.08209382,-31.46794701,absorbed,104,4
37315,-0.082184479,-31.46789551,absorbed,105,4
2249,-51.76661301,9.379278183,absorption,4,0
21939,-2.131690741,25.27870941,absorption,59,3
32310,-51.95843506,9.133813858,absorption,83,4
34093,-2.137611151,25.0596981,absorption,93,4
4424,-0.830396533,-33.08067703,abundance,9,0
35589,-34.02342987,-28.23918915,abundant,100,4
21019,24.87674713,15.69891834,academy,57,2
16347,-15.63815784,60.39925003,accelerate,45,1
32167,-15.62100983,60.49250793,accelerate,83,4
17278,-6.466655254,-18.43078423,accelerating,47,1
35223,-4.285006523,-20.28180885,accelerating,98,4
6989,35.11296082,-31.20057106,accent,14,0
9761,21.17567444,17.41413116,accent,23,0
14558,4.003984451,-0.573291123,acceptance,39,1
29268,-6.374916553,4.955879211,acceptance,77,3
13635,-17.25271225,-32.13460922,accessible,35,1
16419,-25.51700592,-51.02701187,accessible,45,1
5688,-1.204915047,-51.03204346,accidentally,11,0
27792,-8.405881882,-32.37951279,accidentally,73,3
30199,-6.055193424,-37.82176971,accommodate,79,3
20885,20.03816414,9.156617165,accompanied,57,2
27191,-34.85316849,-28.36604881,accompanied,71,3
34203,-34.82168961,-15.61297035,accompanied,94,4
34405,-34.82171249,-15.61308098,accompanied,95,4
34607,-34.82164764,-15.61303997,accompanied,96,4
